,Preselections,n(good vertex) > 0,HEM Jet Veto (eta upper bound bug),HEM Jet Veto (additionally veto missing eta region),HEM electron Veto,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Vtx cos_collinear_fromPV_refit < 0,Vtx cos_collinear_fromPV_refit > -0.99,Vtx cos_collinear_fromPV_refit > -0.98,Vtx cos_collinear_fromPV_refit > -0.97,Vtx cos_collinear_fromPV_refit > -0.96,Vtx cos_collinear_fromPV_refit > -0.95,Vtx cos_collinear_fromPV_refit > -0.9,Vtx cos_collinear_fromPV_refit > -0.85,Vtx cos_collinear_fromPV_refit > -0.8,Vtx cos_collinear_fromPV_refit > -0.75,Vtx cos_collinear_fromPV_refit > -0.7
ZJets,729756,4200,3951,3923,3732,2142,2061,2056,2018,1164,535,422,385,362,342,330,285,256,228,200,185
SingleTop,46314,284,266,263,252,97,86,86,84,42,11,9,8,7,6,6,5,4,3,3,3
TTX,141391,1805,1677,1664,1599,479,458,445,431,276,111,89,80,75,74,72,63,60,56,54,49
TTbar,519733,6627,6149,6113,5848,2082,1945,1913,1900,1190,462,372,338,316,296,287,243,213,190,171,144
QCD,31603,121,117,116,110,28,28,28,25,0,0,0,0,0,0,0,0,0,0,0,0
DY-M4to50,25923,307,287,286,271,147,146,146,141,71,31,16,13,12,11,11,9,9,8,8,8
Multiboson,24553,139,129,129,121,63,60,59,57,36,14,9,8,7,7,7,6,6,5,4,4
WJets,1171204,5296,4977,4941,4667,2158,2098,2093,2029,989,460,349,325,309,299,293,251,230,208,183,161
DY-M50,272468,3053,2859,2829,2700,1104,1084,1083,1052,535,230,165,156,141,133,129,109,88,80,70,60
ZGamma,6511,61,59,59,56,31,27,27,27,14,3,3,3,3,3,3,3,3,3,3,3
Total,2969456,21893,20471,20323,19356,8331,7993,7936,7764,4317,1857,1434,1316,1232,1171,1138,974,869,781,696,617
