,Preselections,0 < n(jet) < 3 & n(good vertex) > 0,computing BDT score,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",BDT,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,0.007414270155088269,0.0006469798413140683,0.0006469798413140683,0.0005618097737911945,0.0005277838890454348,0.0005277838890454348,0.0005277838890454348,0.0005005017925611027,4.423699620987955e-05,5.0,0.2,100.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,0.007306084347248066,0.0005959121646433841,0.0005959121646433841,0.0005040260124318779,0.0004745653244843689,0.0004745653244843689,0.0004745653244843689,0.0004567273411086268,1.8511928503911398e-05,5.0,0.1,100.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,0.00797709862657122,0.000600834907315777,0.000600834907315777,0.0005065851040890407,0.0004833614009871116,0.0004833614009871116,0.0004833614009871116,0.0004669751070511105,6.007211745912607e-05,10.0,0.2,100.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,0.008038948093792015,0.0006468518961049534,0.0006468518961049534,0.0005454041665682605,0.0005148335380257535,0.0005148335380257535,0.0005148335380257535,0.0005044321772342362,4.876503141305479e-05,10.0,0.1,100.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,0.010335342307593722,0.0009224185738316615,0.0009224185738316615,0.0007932188284407307,0.0007600843818875071,0.0007600843818875071,0.0007600843818875071,0.0007220023329761535,0.00015070557419775692,20.0,0.2,100.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,0.01064869843766006,0.0009278374983264792,0.0009278374983264792,0.0008175345078862508,0.0007746338154679585,0.0007746338154679585,0.0007746338154679585,0.0007486698740583597,9.883893021824125e-05,20.0,0.1,100.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,0.01358496758660357,0.0012851788070686538,0.0012851788070686538,0.001082445996706749,0.0010516805397370382,0.0010516805397370382,0.0010516805397370382,0.001010657983771499,0.0002385531068829671,30.0,0.2,100.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,0.013535937524539444,0.00119684470196682,0.00119684470196682,0.0010406028817813934,0.0009954315940102817,0.0009954315940102817,0.0009954315940102817,0.0009663249508229548,0.00015621956853359483,30.0,0.1,100.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,0.01757580834755236,0.001801558110553257,0.001801558110553257,0.0014758222138611524,0.001411009908637466,0.001411009908637466,0.001411009908637466,0.0013644895499112667,0.0003539272293408888,40.0,0.2,100.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,0.017664331272528238,0.0016571303115037912,0.0016571303115037912,0.0014187219168184462,0.0013708536279668326,0.0013708536279668326,0.0013708536279668326,0.0013305906921801504,0.0002852074910723298,40.0,0.1,100.0
sig_2018_Mchi-60p0_dMchi-20p0_ctau-100,0.021028453012212414,0.00232153348202627,0.00232153348202627,0.001970773034796139,0.0019206290905546012,0.0019206290905546012,0.0019206290905546012,0.001762347600367732,0.0005551725348941315,50.0,0.4,100.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,0.022522272782321738,0.0022314058392225913,0.0022314058392225913,0.0019052466750798765,0.0018472421671829726,0.0018472421671829726,0.0018472421671829726,0.0018037747590585675,0.000403242641094623,50.0,0.1,100.0
