,Preselections,0 < n(jet) < 3 & n(good vertex) > 0,computing BDT score,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",BDT,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,10655,869,869,735,692,692,692,666,50,5.0,0.1,100.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,2177,190,190,165,155,155,155,147,16,5.0,0.2,100.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,5842,440,440,371,354,354,354,342,49,10.0,0.2,100.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,12365,995,995,839,792,792,792,776,101,10.0,0.1,100.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,8195,714,714,629,596,596,596,576,87,20.0,0.1,100.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,6241,557,557,479,459,459,459,436,105,20.0,0.2,100.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,14389,1272,1272,1106,1058,1058,1058,1027,200,30.0,0.1,100.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,5296,501,501,422,410,410,410,394,102,30.0,0.2,100.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,10574,1084,1084,888,849,849,849,821,228,40.0,0.2,100.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,16226,1522,1522,1303,1259,1259,1259,1222,297,40.0,0.1,100.0
sig_2018_Mchi-60p0_dMchi-20p0_ctau-100,5452,602,602,511,498,498,498,457,173,50.0,0.4,100.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,15529,1539,1539,1314,1274,1274,1274,1244,316,50.0,0.1,100.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,6993,754,754,643,617,617,617,590,187,50.0,0.2,100.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-100,7990,771,771,650,617,617,617,600,168,60.0,0.1,100.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-100,9055,957,957,810,783,783,783,757,211,70.0,0.1,100.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-100,7894,873,873,731,696,696,696,666,229,70.0,0.2,100.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-100,8905,989,989,834,808,807,807,782,249,80.0,0.1,100.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-100,10603,1240,1240,1062,1023,1022,1022,972,381,80.0,0.2,100.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,25608,2813,2813,2386,2326,2326,2326,2261,726,90.0,0.1,100.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,23255,2803,2803,2364,2281,2280,2280,2173,830,90.0,0.2,100.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-100,35859,4133,4133,3469,3370,3369,3369,3281,1109,100.0,0.1,100.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-100,12650,1601,1601,1350,1289,1288,1288,1230,520,100.0,0.2,100.0
