,Preselections,0 < n(jet) < 3 & n(good vertex) > 0,computing BDT score,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75","minDxy(e1, e2) > 0.01",BDT,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,62382.76451638042,9045.039684673047,9045.039684673047,7993.005412834929,7642.383575313452,7642.383575313452,7642.383575313452,7572.305104022841,3120.283856822987,982.2221484198814,5.0,0.1,1.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,2748.2413517406508,349.5729045705636,349.5729045705636,288.3085971628257,269.62184879734787,268.97633371427247,268.97633371427247,266.4000806205445,127.73672024782176,71.62891150405918,5.0,0.2,1.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,1394.2641432712549,207.14512157111508,207.14512157111508,178.78431441672814,170.88883444692306,170.88883444692306,170.88883444692306,169.82421202611326,78.94039706121784,46.51729487806023,10.0,0.2,1.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,39395.490505900394,5811.0273439563725,5811.0273439563725,5006.120330875525,4654.252295194096,4648.8945882977305,4648.8945882977305,4616.983394075421,1999.8067349612757,970.7531832617792,10.0,0.1,1.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,995.4467686821831,172.47350272641833,172.47350272641833,148.9094706332521,140.35836239897566,140.35836239897566,140.35836239897566,138.67483976778664,68.4294210683295,43.04413732580822,20.0,0.2,1.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,30374.507402897936,4531.002909233876,4531.002909233876,3817.7750559379724,3648.1378905353886,3644.6039712036068,3644.6039712036068,3612.884287441323,1649.0990038896396,904.0400267652741,20.0,0.1,1.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,49723.242757967775,9164.659072603681,9164.659072603681,8024.742582989877,7722.235273984052,7704.441741945028,7704.441741945028,7609.524639229708,3763.3774389804075,2391.9759548971797,30.0,0.2,1.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,33794.918905443745,5067.472655000997,5067.472655000997,4338.181147778637,4193.564236790602,4193.564236790602,4193.564236790602,4156.591358316678,1939.099852281177,1004.9866816331229,30.0,0.1,1.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,512.9351165675464,97.21047456789293,97.21047456789293,82.10067535676886,79.40284472426885,79.34000882139547,79.34000882139547,78.83919935954226,39.70020303672291,25.52681729071552,40.0,0.2,1.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,16193.175659216877,2676.89526824097,2676.89526824097,2298.731658369752,2190.267594801767,2187.0837077611686,2187.0837077611686,2174.3272176438836,1027.3485051055827,583.805709324399,40.0,0.1,1.0
sig_2018_Mchi-60p0_dMchi-20p0_ctau-1,5.675337352519775,1.3348546363963876,1.3348546363963876,1.1032813776373809,1.069656770899746,1.069656770899746,1.069656770899746,1.0491943705960236,0.5647614863792582,0.40328021539562725,50.0,0.4,1.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,205.18640803517027,42.3539917472175,42.3539917472175,36.16098492029192,34.54790019171197,34.54790019171197,34.54790019171197,34.27694218120632,17.280686353506514,12.153034408084414,50.0,0.2,1.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,6562.275286634536,1130.9267554596202,1130.9267554596202,979.5427362318422,942.7158405621564,942.7158405621564,942.7158405621564,939.1156916890111,441.23044826061977,240.4010970807683,50.0,0.1,1.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-1,4153.76792953053,742.9319926544763,742.9319926544763,631.4813030427774,605.5983573825043,605.5983573825043,605.5983573825043,598.7629895233171,282.2635520950919,155.33398816109175,60.0,0.1,1.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-1,2928.0623589663996,529.5587693930546,529.5587693930546,449.91693637542386,436.7860402400874,436.7860402400874,436.7860402400874,431.61802933867864,200.4056046028372,106.12332326944694,70.0,0.1,1.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-1,90.58344102431501,20.743507008467844,20.743507008467844,17.643513075623254,16.994587089641,16.994587089641,16.994587089641,16.764124477875395,8.634059502276509,5.772510827045745,70.0,0.2,1.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-1,2122.8095204893602,408.9345729941965,408.9345729941965,355.4048810158962,344.1001769583671,344.1001769583671,344.1001769583671,341.2717393904815,149.91913858775789,87.75659231768765,80.0,0.1,1.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,51.579091989709006,12.167297199054179,12.167297199054179,10.290512973128887,9.934374586987518,9.934374586987518,9.934374586987518,9.796152483306768,4.693765614870272,3.04308219001296,90.0,0.2,1.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-1,1627.1121306514663,320.2432042238891,320.2432042238891,273.96945452449967,264.43439975813845,264.401126660525,264.401126660525,261.91002870075334,121.1091504140702,70.57402681550276,90.0,0.1,1.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-1,38.80910782551951,9.442218837535007,9.442218837535007,8.021687487892862,7.716590880379438,7.714461156117979,7.714461156117979,7.580197228666987,3.6685410467177695,2.2800907537165016,100.0,0.2,1.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-1,1263.566989609228,255.9531808623256,255.9531808623256,218.56428283705222,211.803679789777,211.7393889213685,211.7393889213685,209.7076802932877,95.42573178773081,56.30129348590584,100.0,0.1,1.0
